Recipe ,Ingredients,Ingredient(s) at The Pantry,Preparation
Pasta Cobb Salad,"1 pouch Barilla Ready Pasta Elbows
2 slices bacon, crispy and cut in strips
1 cup iceberg salad, shredded
1 hard-boiled eggs, chopped
1-4 oz grilled chicken breast sliced
2 ripe plum tomatoes, diced
½ avocado, diced
3 green onions, chopped
¼ cup blue cheese, crumbled
4 oz Ranch style dressing","1 pouch Barilla Ready Pasta Elbows
1 cup iceberg salad, shredded
1 hard-boiled eggs, chopped
3 green onions, chopped","Tear corner of Ready Pasta pouch to vent, heat in microwave for one minute; pour on a plate and let cool down.
Toss pasta with all ingredients together in individual-sized serving bowls."
Pasta Salad with Tomato Basil Sauce and Cheese,"1 pouch Barilla Ready Pasta Elbows
1 cup of Barilla Tomato & Basil Sauce
2 leaves of basil, julienned
2 tbsp Parmigiano-Reggiano cheese, grated
","1 pouch Barilla Ready Pasta Elbows
2 leaves of basil, julienned","Tear corner of Ready Pasta pouch to vent, heat for 60 seconds in the microwave.
Warm sauce and basil in a bowl for 2 minutes in the microwave.
Combine pasta with sauce and top with cheese."
Esquite,"1 can of sweet corn
1 tbsp butter
Salt to taste
⅓ cup of Parmesan cheese or Cotija
Chile powder or Hot Cheetos powder
2 tbsp mayonnaise (adjust according to preference)",1 can of sweet corn,"Start by adding the butter to a frying pan.
Add the corn kernels and cook for 5 minutes over medium heat.
Serve in cups.
Add cheese, mayonnaise on top, and finish with chili powder or Hot Cheetos powder. 
Eat as is, or mix. Enjoy!"
Tuna Salad Sandwich,"1 canned tuna
2 medium sized tomatoes
¼ cup of cilantro
A pinch of sea salt
⅛ cup of white or red onion
¼ cup of cucumber
1 lemon or lime
2 slices of bread
Optional: ¼ cup of mayonnaise","1 canned tuna
2 medium sized tomatoes
¼ cup of cilantro
⅛ cup of white or red onion
¼ cup of cucumber
1 lemon or lime
2 slices of bread","Open the canned tuna. Drain the liquid from the canned tuna. Add the tuna to the bowl. 
Wash your tomatoes, cucumber, and onion. Chop the tomatoes, cucumber, and onion into small cubes.
Wash and drain your cilantro and roughly chop the cilantro.
Add the chopped tomatoes, cucumber, onion, and cilantro into the same bowl as the tuna.
Add lemon or lime juice to the bowl.
You may add mayonnaise if you want, and add the sea salt. 
Carefully mix your ingredients together.
Can be eaten right away or stored in an airtight container in the refrigerator. "
Tuna Noodle Casserole,"1 canned tuna
½ cup beans and legumes
Pasta noodles
4 cups spinach
¼ cup Alfredo sauce
Oil
Dash: basil, oregano","1 canned tuna
½ cup beans and legumes
Pasta noodles
4 cups spinach
Dash: basil, oregano","Preheat the oven to 400°F.
Cook pasta according to the packaging instructions on the stovetop.
Coat the casserole dish with oil.
Combine all ingredients in the casserole dish."
Tuna Melts on Pepper,"1 canned tuna
1 bell pepper, green
1 tbsp mayonnaise
⅓ cup mozzarella cheese, shredded
Dash: everything cheese, shredded","1 canned tuna
1 bell pepper, green","Preheat the oven to 425°F.
Slice peppers into quarters.
Mix tuna and mayonnaise.
Combine all ingredients into a casserole dish.
Bake for 10 minutes.
Remove from the oven, top with cheese.
Bake for another ~3 minutes.
No cheese? Use dairy-free cheese."
Arugula Chickpea Tuna Salad,"2 tbsp of olive oil
Arugula
Canned chickpeas 
Lemon juice
Canned tuna
Diced red onion
Sesame salad dressing
Spices:
Garlic powder
Onion powder
Smoked paprika
Cayenne pepper (optional for added spice)
Za'atar
Salt
Pepper
Dill seasoning
Optional: nutritional yeast for added Vitamin B12","Arugula
Canned chickpeas 
Canned tuna
Diced red onion
Garlic powder
Onion powder
Smoked paprika
Salt
Pepper","Prepare by opening and draining cans of tuna and chickpeas. Lightly mash tuna after draining, 
Dice red onions  
Drizzle olive oil in a bowl and toss in chickpeas to cover in oil
Mix in garlic powder, onion powder, smoked paprika, cayenne pepper, za'atar, salt and pepper
Add tuna and lightly mix it in the bowl
Top with arugula
Squeeze lemon juice and add dill seasoning 
Toss salad and your quick meal is ready!"
Spicy Rice Casserole,"3 tbsp canola oil
4 eggs, lightly beaten
½ tsp sesame oil
1 onion chopped
1 tsp ginger, finely chopped
1 clove garlic, finely chopped
½ hot pepper, deseeded and finely chopped
2 bell peppers, deseeded and finely chopped
1 lb broccoli, chopped
4 cups of rice, cooked
4 tbsp soy sauce
¼ cup oyster sauce
","4 eggs, lightly beaten
1 onion chopped
1 tsp ginger, finely chopped
1 clove garlic, finely chopped
½ hot pepper, deseeded and finely chopped
2 bell peppers, deseeded and finely chopped
1 lb broccoli, chopped
4 cups of rice, cooked","In a large skillet, heat 1 tbsp of canola oil and sesame oil over medium-high heat. Add eggs and stir until cooked through.
Set aside the eggs, wipe the skillet, and add remaining canola oil. Add onion, ginger, garlic, both hot pepper and bell peppers, broccoli, and cooked rice. Increase heat slightly and cook until rice is crispy (about 5 minutes).
In a small bowl, combine oyster sauce with soy sauce. Pour mixture over rice and continue cooking until the rice has absorbed the liquid. 
Add cooked eggs back into the skillet and mix. Serve."
Chicken Panang Curry,"2 chicken breasts 
Panang curry paste or panang curry sauce
Coconut milk (if not using panang curry sauce)
Salt (to taste)
Oil
¼ cup shallots
1 tbsp thai chilies
¼ teaspoon curry powder (optional)
Broccoli
Green beans
Chicken broth (optional: low-sodium chicken broth)
Bokchoy
","Salt (to taste)
Broccoli
Green beans
Chicken broth (optional: low-sodium chicken broth)
Bokchoy","Thoroughly wash bok choy and separate sprigs 
Rinse broccoli and green beans
Chop up chicken breast into bite-sized pieces
Chop up shallots
Heat up oil in a large pot and throw in shallots and thai chilis
Cook up for a few minutes until shallots starts to brown 
Add panang curry paste if not opting for panang curry sauce
Pour in coconut milk for the paste (if not using panang curry sauce)
Add chicken breast into pot and pour in a small amount of chicken broth and curry powder
Cover with lid and simmer for 10-12 minutes
Uncover and add broccoli, green beans, and bok choy
Cook for an additional 5 minutes
Serve with rice!"
Chili Stuffed Poblano Peppers,"1 lb of ground turkey
1 can of chili
¼ tsp of salt
1 ½ cups of shredded Mexican cheese
1 medium tomato
4 green onions
4 poblano peppers
1 tsp olive oil
","¼ tsp of salt
1 medium tomato
4 green onions
4 poblano peppers","Preheat the oven to 350°F or use a broiler.
Fully cook ground turkey until no longer pink. Add chili and a pinch of salt. Add cheese, tomatoes, and green onions.
Cut the top part of your pepper to remove the stem. Remove the seeds and the insides.
Cut the pepper in half and coat every side with oil.
Line a tray with aluminum foil and place the peppers (with the opening down) on the foil. Place it in the oven for about 5 minutes, or until the skin of the pepper begins to blister.
After cooking the peppers, carefully remove the peppers from the oven. Remove the foil and flip them back over on the tray or dish. Add your chili filling into the open side."
