epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7603,1.75888,4.27716,1.80585,0.63884,0.34662,0.37028,0.18448,1.86095,4.65242,1.94836,0.00025,0.00025,0.00025
2,51.3779,1.65241,2.34017,1.65859,0.50042,0.43549,0.39794,0.22166,1.80997,2.13146,1.94005,0.000504044,0.000504044,0.000504044
3,62.4946,1.73575,2.1141,1.71863,0.44138,0.27083,0.2043,0.09321,2.0072,3.17748,2.21077,0.000749425,0.000749425,0.000749425
4,73.3277,1.69555,1.87376,1.67554,0.27271,0.17458,0.19702,0.08573,2.54488,4.56173,3.4862,0.000986144,0.000986144,0.000986144
5,84.0188,1.74865,1.81686,1.64072,0.19227,0.333,0.20101,0.08676,2.07892,3.65345,2.39685,0.0011675,0.0011675,0.0011675
6,95.4233,1.69767,1.73914,1.64556,0.25442,0.38479,0.22604,0.10598,2.40763,4.21454,2.64165,0.00114688,0.00114688,0.00114688
7,106.441,1.76103,1.66523,1.67907,0.32553,0.45789,0.32079,0.13749,2.14922,3.00772,2.68527,0.00112625,0.00112625,0.00112625
8,117.557,1.68208,1.74826,1.65298,0.49634,0.20557,0.21878,0.11218,2.58196,6.81353,2.74227,0.00110563,0.00110563,0.00110563
9,129.238,1.68031,1.65794,1.62444,0.5856,0.33127,0.33326,0.16389,2.35153,4.84929,2.3211,0.001085,0.001085,0.001085
10,140.786,1.59627,1.5594,1.56013,0.79451,0.36111,0.44976,0.24027,1.9462,3.10012,1.90895,0.00106437,0.00106437,0.00106437
11,152.077,1.52282,1.40368,1.51438,0.60825,0.43183,0.52282,0.29177,1.87136,2.41131,1.92646,0.00104375,0.00104375,0.00104375
12,162.839,1.58177,1.52043,1.56678,0.40766,0.50807,0.48529,0.27973,1.67853,1.79475,1.6589,0.00102312,0.00102312,0.00102312
13,174.435,1.63227,1.55742,1.60531,0.51289,0.50729,0.49512,0.28618,1.80041,2.71166,1.73473,0.0010025,0.0010025,0.0010025
14,185.767,1.49011,1.4111,1.49874,0.44054,0.5348,0.50516,0.31834,1.74083,1.91311,1.73514,0.000981875,0.000981875,0.000981875
15,196.953,1.51483,1.39998,1.52604,0.46294,0.3953,0.35051,0.20148,2.13494,1.9981,2.01904,0.00096125,0.00096125,0.00096125
16,208.746,1.4695,1.34656,1.47397,0.57538,0.51896,0.54327,0.32274,1.8315,1.61156,1.72699,0.000940625,0.000940625,0.000940625
17,219.881,1.52239,1.36061,1.50903,0.60981,0.61146,0.60965,0.35384,1.75714,1.64737,1.65142,0.00092,0.00092,0.00092
18,231.631,1.45008,1.366,1.48268,0.64893,0.47155,0.56112,0.28448,1.8339,1.62023,1.80221,0.000899375,0.000899375,0.000899375
19,242.203,1.51766,1.39401,1.54026,0.52801,0.53977,0.52189,0.29167,1.80498,1.80559,1.73734,0.00087875,0.00087875,0.00087875
20,253.261,1.37817,1.27743,1.42167,0.44378,0.42241,0.38463,0.19865,2.18184,2.14728,2.07105,0.000858125,0.000858125,0.000858125
21,264.736,1.51013,1.35928,1.49387,0.6806,0.50375,0.56617,0.32065,1.72336,1.7135,1.64142,0.0008375,0.0008375,0.0008375
22,276.282,1.45079,1.30972,1.46379,0.55963,0.54181,0.57411,0.34018,1.82872,1.5482,1.72618,0.000816875,0.000816875,0.000816875
23,286.89,1.39018,1.1906,1.41928,0.72869,0.46653,0.57877,0.33954,1.84176,1.3568,1.7831,0.00079625,0.00079625,0.00079625
24,298.426,1.46912,1.25473,1.48916,0.59583,0.58583,0.60597,0.3483,1.6536,1.21406,1.59671,0.000775625,0.000775625,0.000775625
25,308.593,1.42442,1.31854,1.48351,0.68126,0.60306,0.64981,0.39008,1.62638,1.29754,1.60512,0.000755,0.000755,0.000755
26,320.006,1.38219,1.22121,1.44458,0.69116,0.61269,0.61524,0.39337,1.6217,1.16423,1.62631,0.000734375,0.000734375,0.000734375
27,331.022,1.37963,1.19772,1.43144,0.62269,0.62604,0.64366,0.35671,1.66746,1.17017,1.58639,0.00071375,0.00071375,0.00071375
28,342.714,1.31084,1.15395,1.3704,0.77277,0.54021,0.66242,0.38678,1.60636,1.19289,1.63649,0.000693125,0.000693125,0.000693125
29,354.061,1.36839,1.22044,1.43905,0.82114,0.50366,0.65323,0.37461,1.58162,1.22232,1.5578,0.0006725,0.0006725,0.0006725
30,365.616,1.31044,1.12119,1.4049,0.58549,0.57458,0.59122,0.31548,1.78821,1.43972,1.8392,0.000651875,0.000651875,0.000651875
31,376.616,1.34208,1.17195,1.39368,0.77598,0.56682,0.59678,0.30831,1.8213,1.49646,1.72782,0.00063125,0.00063125,0.00063125
32,387.981,1.2676,1.07624,1.35456,0.7464,0.5793,0.67948,0.41721,1.56233,1.03466,1.52283,0.000610625,0.000610625,0.000610625
33,398.697,1.25733,1.03776,1.34392,0.58427,0.63146,0.59984,0.37769,1.56209,1.01991,1.54606,0.00059,0.00059,0.00059
34,409.537,1.26599,1.04228,1.33407,0.66407,0.54515,0.627,0.38185,1.70861,1.09018,1.66444,0.000569375,0.000569375,0.000569375
35,421.294,1.23463,1.03106,1.31616,0.82028,0.54112,0.67982,0.39835,1.68193,1.00304,1.64214,0.00054875,0.00054875,0.00054875
36,432.463,1.21291,0.96498,1.3116,0.68285,0.64459,0.65638,0.39295,1.59738,1.00795,1.52361,0.000528125,0.000528125,0.000528125
37,443.964,1.23839,1.02909,1.34858,0.65654,0.60315,0.62802,0.35317,1.68287,1.27103,1.64999,0.0005075,0.0005075,0.0005075
38,455.479,1.16217,0.9594,1.29152,0.74246,0.5807,0.66181,0.39309,1.56094,1.01641,1.53281,0.000486875,0.000486875,0.000486875
39,465.802,1.22153,0.98904,1.32298,0.65812,0.66857,0.64395,0.3819,1.62176,1.03153,1.57754,0.00046625,0.00046625,0.00046625
40,476.699,1.15203,0.95611,1.29319,0.71093,0.60426,0.66035,0.41508,1.5976,1.03236,1.51488,0.000445625,0.000445625,0.000445625
41,487.702,1.1444,0.96923,1.27593,0.6076,0.69335,0.65759,0.41684,1.63276,0.91366,1.55697,0.000425,0.000425,0.000425
42,498.863,1.14329,0.94122,1.31516,0.75028,0.59947,0.71684,0.41817,1.65061,0.85776,1.5641,0.000404375,0.000404375,0.000404375
43,510.293,1.14017,0.93341,1.26576,0.70263,0.60583,0.66818,0.3817,1.73769,1.00362,1.60332,0.00038375,0.00038375,0.00038375
44,521.648,1.1532,0.93207,1.2717,0.77727,0.61697,0.71802,0.42873,1.67891,0.92926,1.56174,0.000363125,0.000363125,0.000363125
45,533.163,1.10266,0.89371,1.23561,0.80181,0.62212,0.7059,0.41366,1.61757,0.93327,1.57624,0.0003425,0.0003425,0.0003425
46,544.811,1.09579,0.86939,1.25391,0.70759,0.70422,0.71207,0.4203,1.60299,0.88949,1.53284,0.000321875,0.000321875,0.000321875
47,555.423,1.03335,0.83449,1.22735,0.69036,0.6891,0.67379,0.41302,1.5606,0.84153,1.51151,0.00030125,0.00030125,0.00030125
48,566.591,1.07337,0.87757,1.24912,0.72131,0.69373,0.74272,0.44492,1.58182,0.78131,1.48967,0.000280625,0.000280625,0.000280625
49,578.421,1.05005,0.79955,1.21561,0.79191,0.69436,0.76065,0.44429,1.62697,0.76581,1.50349,0.00026,0.00026,0.00026
50,590.08,1.02213,0.85453,1.21675,0.74672,0.68527,0.73925,0.42888,1.53125,0.78075,1.45919,0.000239375,0.000239375,0.000239375
51,605.416,0.94454,0.73223,1.18593,0.72476,0.68746,0.67843,0.40787,1.63882,0.89983,1.61728,0.00021875,0.00021875,0.00021875
52,616.714,0.97124,0.72445,1.19559,0.75295,0.62763,0.69554,0.41531,1.63758,0.92586,1.58351,0.000198125,0.000198125,0.000198125
53,627.489,0.93949,0.66094,1.16739,0.75389,0.61722,0.70092,0.43003,1.49252,0.85103,1.48197,0.0001775,0.0001775,0.0001775
54,638.673,0.8953,0.64105,1.13808,0.69829,0.636,0.69468,0.43687,1.47824,0.81695,1.47922,0.000156875,0.000156875,0.000156875
55,649.45,0.87014,0.61798,1.15035,0.71811,0.64287,0.70195,0.44796,1.50986,0.79414,1.45405,0.00013625,0.00013625,0.00013625
56,659.588,0.86257,0.61126,1.14453,0.7432,0.61479,0.70052,0.446,1.48825,0.81731,1.46789,0.000115625,0.000115625,0.000115625
57,670.95,0.87077,0.62281,1.15199,0.72872,0.62563,0.6891,0.45474,1.44783,0.80472,1.44111,9.5e-05,9.5e-05,9.5e-05
58,681.638,0.81493,0.55642,1.09829,0.76287,0.6322,0.68712,0.44884,1.43296,0.79474,1.43458,7.4375e-05,7.4375e-05,7.4375e-05
59,692.82,0.83547,0.56479,1.12553,0.77331,0.63148,0.69063,0.44837,1.46718,0.79299,1.46273,5.375e-05,5.375e-05,5.375e-05
60,704.093,0.82348,0.54822,1.13034,0.74239,0.68703,0.69109,0.44633,1.47617,0.78921,1.47586,3.3125e-05,3.3125e-05,3.3125e-05
